Cal Target 1,MACUSANITE
Cal Target 2,NORITE
Cal Target 3,PICRITE
Cal Target 4,SHERGOTTITE
Cal Target 5,GRAPHITE
Cal Target 6,KGAMEDS
Cal Target 7,NAU2LOS
Cal Target 8,NAU2MEDS
Cal Target 9,NAU2HIS
Cal Target 10,TI
Cal Target 1 Zstack,MACUSANITE
Cal Target 10 Zstack,TI
