Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BCR2,1,4,3.59,5.0873126170341099,4.4008849768469309,4.061835545953465,4.2431550400599747,3.9797364810415106,4.4291332372759928,4.3509669437069958,4.4291892862342106,4.6797703731433984,4.7376702209289148,4.8603305717003442,4.8668121150873738,4.7194309456609966,4.6553912546984675,4.7106680158994667,4.5694342366780969,4.6656335339179424,4.5431080219569493,4.3976163375303159,4.3635497759792132
BCR2,2,4,3.59,4.9475833484622669,4.0050497941778858,3.2052186164172847,3.1328396881073495,2.6078017661820434,3.0319743189416264,2.9352356382285287,3.0722291126305272,3.3176689658535143,3.4479465078160678,3.6821620440543859,3.9791625651559799,4.0412233569301286,3.9761507030230474,3.9607484644455866,3.7452228316012848,3.8463293227168114,3.8263530241380588,3.7523750800757996,3.7426581589822927
BCR2,3,4,3.59,4.8731020464336439,4.1675047948780657,4.4715304826488671,4.6999234572638358,4.3651371447707827,4.8358511687022832,4.7459626570419857,4.7465486271759945,4.786183227469218,4.7285148050202501,4.7760043764368936,4.8536409975617341,4.7563320874286861,4.6722767297720802,4.5730186284407406,4.4137641719606542,4.5401269275147094,4.4823066323717047,4.3876895300610963,4.2857770203295447
BCR2,4,4,3.59,4.7396981170037398,3.5917811584216728,2.8420601150855287,2.8058590357977389,2.086520687107825,2.4451396786727191,2.3608508238837103,2.5910883144604213,2.9807593866064357,3.2423125968410718,3.510241933403071,3.5771347616128759,3.6967058113230173,3.5872655664408031,3.0391818188328914,2.8512900152877965,2.7266710527899134,2.7116866930745931,2.7102095050709485,2.5918742145664688
BCR2,5,4,3.59,4.9593072033857846,4.1328865756400228,3.5125508562698036,3.6040018374432696,3.3072071793994713,3.6917532423930837,3.6788174862114746,3.8005209807904174,4.0150499848069057,4.0933907602467405,4.3015401697135731,4.5504003358173462,4.4651614909610737,4.4022296853562457,4.3553719112625,4.1383220461140668,4.3140734922709845,4.3517720385959198,4.2967804165158805,4.3158645775841231
BHVO2,1,4,7.23,5.3641180762705218,5.7888099162815205,6.1601428049692437,6.2168531542898631,6.1187193066048025,6.4242476615627666,6.4865797051949903,6.480740755807183,6.5279061044483697,6.6916695568407434,6.8354184746736015,6.7519216843438645,6.8686692013824562,6.7540029075765133,6.7501677880510833,6.451693557415453,6.5760868000925532,6.6111636068298942,6.5619979559918704,6.5129862570739956
BHVO2,2,4,7.23,5.4067570257810331,5.7230850375250721,6.0482788110378483,6.1534723679615242,6.0884607146278285,6.3519343854960075,6.3543146835559421,6.373426013454603,6.520928057856838,6.7285515129042945,6.8480773310365191,6.8047634729432218,6.9090693962926082,6.7851990629552237,6.8202106563363945,6.5097090789400589,6.6688510426019025,6.7081403789302421,6.7253913924293105,6.6979518152200868
BHVO2,3,4,7.23,5.4417765641168172,5.9861098289541719,6.1634138617854557,6.1419937932247581,6.006955795371856,6.1724063118162222,6.1800394712789846,6.1828888808367353,6.2394899379966517,6.3956514243923994,6.4400899405994503,6.4412062999910269,6.5531192611442819,6.3554392900323649,6.1972964749375246,5.769516456561429,5.8714733388004712,5.9847488104265896,6.094422009898679,6.1609082566385114
BHVO2,4,4,7.23,5.3420925150912426,5.6340475268004022,5.8236359256896275,5.8726998038212805,5.7447198233454229,6.0048198946446103,6.0468015360701166,6.0740236708418127,6.1801664927355908,6.3664603633447197,6.4889712902315981,6.42721315227951,6.5227691419490768,6.3452590191084841,6.2281893275343982,5.8754041817909544,6.0245627677974785,6.0964791001418401,6.143956027194502,6.168005013173766
BHVO2,5,4,7.23,5.3508106347372486,5.6897276904729486,5.8286989242457388,5.8242589709107389,5.6456518844766812,5.9353650657527099,5.9759120049257719,5.9922432575763249,6.0730404590643969,6.2541652533116485,6.3907195136291399,6.341451547102233,6.4727497541249512,6.3101950744175141,6.2098989490838221,5.8861734318299641,6.0188040075375833,6.1104055797176509,6.1759596397869956,6.2117141555777433
