Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BCR2,1,4,3.59,4.909179480154223,4.3298920608634228,4.5735548348105857,3.9650425733118988,4.2172500702339546,4.2516457682430122,4.5336028817091227,4.5087147913453727,4.3176987794773014,4.3413855008375029,4.0938671697330511,4.002159824752634,4.1514474280131015,4.4711720389586,4.4444471692119372,4.2959761785924853,4.1217909432584303,4.0813249892360517,3.8573701971494114,3.9364400637423915
BCR2,2,4,3.59,4.8587935065162302,3.9472720857555177,4.0326882019419736,3.2591848367268339,3.2431901040773901,3.2343906828783244,3.5087387061106941,3.3950406393733594,3.0821990873581289,3.0130086917881336,2.8550821323702809,2.8979017293191482,3.0846964926622764,3.2601519695952557,3.2937374844539873,3.3965369798229554,3.3339085760517899,3.4800554144269547,3.1797293157340314,3.3699143589857341
BCR2,3,4,3.59,4.5508401738226807,4.0591679787320016,4.7460152531505431,4.1286294202892853,4.6048575700124923,4.6731844742729205,5.0053716390209662,4.9670708999768287,4.7352643736913267,4.5453311047302112,4.2474398949022314,4.081197480448747,4.2893666907897643,4.4263359908911735,4.3390585459123052,4.3821710360699981,4.3184121251052634,4.3835792641344371,4.2117043314158389,4.382267637364639
BCR2,4,4,3.59,4.581981989659119,3.4744584688276401,3.8274676023837362,3.066526007038811,3.254559063670436,3.2358191007436425,3.5679276887853573,3.5930506809481351,3.3424112431399511,3.2702852501112858,3.0158624500272158,2.8744645452422848,2.993099819371178,3.0632027980031094,3.0023374785262233,3.1310310306291185,3.0015292338011741,3.1614828884020065,2.8758700245032678,3.027622164463617
BCR2,5,4,3.59,4.8651129882479252,4.0620703209785347,4.1129751039036613,3.6330254882169641,3.7225501595044328,3.8359891209767589,4.1699590731390801,4.1561459335169744,3.9132728916934036,3.9068336777702664,3.6651608592505727,3.5562571954103488,3.6467879144975557,3.7954187732252169,3.7361511563542802,3.7969828489289021,3.5593132594051653,3.700231405037044,3.4152414429938052,3.4606325376720495
BHVO2,1,4,7.23,5.200071951951764,5.5746877743969199,5.9871415850363485,5.7847412075817939,6.0475738784613089,5.9981733779671584,6.3336343085139877,6.4200424939597394,6.2140877372457428,6.1294246775379282,6.2370703488039343,6.2824276529395942,6.4667602411748106,6.5212950086849748,6.4711607357583354,6.4182828238885925,6.2935180301754787,6.5248304595481805,6.3524361845161028,6.550843209611374
BHVO2,2,4,7.23,5.2153034150241542,5.6457541935292346,6.1424060365802884,5.9312262773322288,6.1864796506877244,6.165186701383111,6.4102167768627041,6.4734287467944878,6.2832032431083622,6.2153017726116015,6.2465438920139196,6.1778112492754635,6.3178504285940917,6.3772105590062278,6.3562602018165073,6.2784067317999765,6.1086092597645827,6.3195143120879429,6.1195613748633537,6.321804097273219
BHVO2,3,4,7.23,5.2480854125825926,5.9592946928882533,6.410601441325996,6.1802103585650876,6.2592970725814592,6.1803850871545656,6.3359071894603467,6.2368615838727601,5.9772197522503454,5.8146298926409523,5.8677757507852046,5.783756984049834,5.941386607545752,5.9376372146650054,5.9951556005094497,6.1158534434348191,6.1055682318012057,6.4323702283178168,6.2368521497826492,6.4614181612280035
BHVO2,4,4,7.23,5.187714891561602,5.5581690169711884,5.994875502730185,5.8230237118960764,6.0871663331073389,6.0320924560646851,6.2964962172216783,6.3291818113598781,6.1162312168935848,6.0435200605059798,6.0311395279077695,5.9120965583435545,6.0231458841333518,6.0502240335785631,6.0242867885430762,5.9870808966893474,5.8329516257497716,6.066885145700013,5.8722506520949569,6.063184857364412
BHVO2,5,4,7.23,5.2179449506838465,5.5753778991436143,5.9632659484803243,5.7166151635405953,5.9518497537577186,5.8537976653643602,6.1050316519499113,6.0712661403885013,5.8337703745889788,5.7361177345793015,5.8059203233199845,5.8276147389563082,6.0387083582834364,6.1216092993149287,6.1232293377142106,6.106755370801686,5.9977157586155778,6.2287649153549012,6.0788833052239841,6.288848788777365
