NC,RMSECV (wt.%)
1,6.1921375383317789
2,5.6192015523975369
3,4.9434027362157389
4,4.4738245146122475
5,4.1649132900430281
6,4.0008366199073047
7,3.9042113071982434
8,3.8650367139135482
9,3.9098827666369496
10,3.8870157235130987
11,3.7527118922123401
12,3.6006843896264096
13,3.6642930469255499
14,3.630948485203779
15,3.6503697507684709
16,3.580814751855153
17,3.6020074567504818
18,3.5913596369137233
19,3.6030778421928198
20,3.5620549783759223
