wvl,1,2,3,4,5,6,7,8,9,10
246.63498999999999,-0.20088575512744289,-2.1675021617289638,-8.4848080544987745,-3.9729715393956537,-5.6438625018360247,-6.2745778014232512,-5.1308406021849891,-5.0259748565403637,1.1172041515306272,4.0730643425994417
246.68799999999999,-0.21044031538079555,-2.1948967661800616,-8.2789841782664855,-4.0059677401570628,-5.4648395044380491,-5.9466604216015639,-4.4500384416788155,-4.0003022699862631,2.7235331397297164,5.8274235585550027
246.74100000000001,-0.24629025977375243,-2.1015825866812659,-7.5856967113205158,-3.7554558669995322,-4.947607845919304,-5.2860697744130345,-3.6107383168755303,-2.9180250173648101,3.9175935283540393,6.9499618059876358
246.79400999999999,-0.26645380811659841,-1.9355795950181867,-6.6303915595975607,-3.2630375622117773,-4.0765349768564505,-4.2204728211848943,-2.2948950843535796,-1.2250019519201203,6.3912680624148006,9.6095309624461382
246.84700000000001,-0.22764094723070399,-1.4903090697942574,-4.5867402804863193,-2.4483002561638805,-2.6257216511848314,-2.479835743765511,-0.52203606130121571,0.86853552283676672,8.2065680949156015,11.154464901160498
246.89999,-0.24642132322151092,-1.3658327319656069,-4.234796078612022,-2.3984991622699923,-2.5866957143463618,-2.4659185704060529,-0.6887948834516705,0.6485724529809398,7.8152051069341706,10.718589976602514
246.953,-0.18149252483238315,-1.2035118420290727,-4.1817473909009619,-2.2332869263453352,-2.7062830632654418,-2.7975396405840951,-1.7173670989548229,-0.99908780581592882,4.8825784162007491,7.3338076942893871
247.00700000000001,-0.13527042576677584,-1.298580407620183,-4.9530032504487966,-2.2734679231585817,-3.0414421335977657,-3.2926083355243527,-2.4123972269131579,-1.9791847920571279,4.1076605648697306,6.8389323342413757
247.06,-0.093195712962493002,-1.3140700263839675,-5.4158620944063909,-2.2727068581863357,-3.3197621508517665,-3.7279921221397934,-3.0857326799019145,-2.928694453719475,2.9750991077504283,5.7486269136489554
247.11301,-0.052143933983838396,-1.3240495702987665,-5.3679881901916451,-2.1418156791851848,-3.0806863675439837,-3.4262040200569963,-2.6971601730738413,-2.4506411242779751,3.8124248967329466,6.7138838391567477
247.166,-0.049074903731351531,-1.2298006912390715,-5.0478458552503849,-2.002388692053521,-2.8953588644574695,-3.2321030977050751,-2.555195023642479,-2.2834987999734744,3.8394764574111462,6.5844529985820888
247.21898999999999,-0.029394824505179259,-1.1660976722145069,-4.6637319464084319,-2.0302548924780024,-2.6715453508958662,-2.8713028069692461,-1.9640566078804647,-1.2778964730824292,5.8364791556199647,8.9235873605469003
247.27199999999999,-0.0022254556606991515,-1.0443908238704398,-4.4987724691269522,-1.9580067894894344,-2.5888196546958433,-2.7828562179073231,-1.7520612879269557,-0.8374319398834108,6.980034527111326,10.45652905057756
247.32499999999999,0.041474320910326129,-0.85723106669503923,-4.2469336961591626,-1.8935690132360072,-2.7440850866038771,-3.0978881981389406,-2.5503661819213943,-1.9932246962216262,4.5845668938099058,7.7125511653766168
247.37800999999999,0.095671169520260016,-0.78674744230835281,-4.2499151770096217,-1.6773845082027448,-2.5139975840678788,-2.8329320000864815,-2.0227563498689465,-1.2184144529984,6.1328345101635406,9.6793863409328509
247.43100000000001,0.11847336564935811,-0.71882511555206807,-3.8455414102899192,-1.5794376829046799,-2.3106044479277958,-2.5744897784309635,-1.837938168614567,-1.0720915015388184,6.0500593822000557,9.3884364009091321
247.48399000000001,0.090608712001973304,-0.66395397274425993,-3.3547120958755832,-1.8628486029417846,-2.6161418343952048,-2.9566255843573752,-2.9117159192018374,-2.6625966918925612,2.8759237337643397,5.3799230870346841
247.53700000000001,0.069814791863506365,-0.53278391216842247,-3.0018483262618547,-2.109697215192325,-3.1028589419201547,-3.6397242774694258,-4.3905894241134904,-4.716800703098988,-0.80785227983578434,1.0610967201476611
247.59200000000001,0.084508636013547148,-0.39932156819319625,-2.7439906258000164,-2.1020488753398259,-3.1922271876905572,-3.7898712079833006,-4.7224905869489158,-5.0550138977180827,-1.0343084281202488,1.055618997433097
247.64400000000001,0.11561105962348647,-0.30406836664859749,-2.2438338896493777,-1.9280694349307559,-2.8592123060111008,-3.3913404124182049,-4.4142930202658999,-4.7277170557748596,-0.78002933893452209,1.2037521472932349
247.69701000000001,0.12077107564088932,-0.071023953237698417,-1.2296642874635464,-1.1615858759028002,-1.7587507274984486,-2.1013301002482438,-2.8582549415474463,-2.9498796199899058,0.62273050618809611,2.378015675889233
247.75101000000001,0.25190007374595502,0.41781203050046539,-0.16525802000658385,-0.87782283616245083,-1.5605727559137703,-2.0001275745067044,-3.423013203229103,-3.6792399431867513,-0.24735728197159457,1.6962287819835487
247.80298999999999,0.61744133296423842,1.613730033044926,1.8667661820810839,-1.2139608096948042,-2.7110128817659715,-3.7638580147079184,-7.7305972832330889,-8.9230295069817487,-6.2567407912923061,-3.8212341137603949
247.85599999999999,1.1140735696380393,3.194073694559882,4.5326288873931961,-1.511639832238493,-3.9695760670483784,-5.7080224775735315,-12.463321091378955,-14.361692927755895,-11.244271572362862,-7.453176836541207
247.91,2.1218161649505491,5.9262796210011741,8.8059509882973881,-1.7466000352621407,-5.8085517045118884,-8.7328831850021142,-20.314024102811235,-23.502844350130232,-18.871511181913615,-12.494453738167957
247.96200999999999,2.3306950458260838,6.5625811356562469,9.6023634259786643,-1.5583699324748519,-6.1020763806112175,-9.2712210419376948,-21.256735055552475,-24.21058785645052,-18.283722250369905,-10.89447413621528
248.01499999999999,1.8601996321992218,3.9870616994964858,5.1697913220205729,1.5390721171561363,-0.21437748693271974,-1.4581601924043621,-6.2970380273531026,-6.2659500269848323,4.4068553675983679,12.057268774771252
248.06899999999999,0.8598689076209387,0.98053779351785753,-0.47889311830831494,1.0714532396285736,0.25982738217827728,-0.26886018752553464,-1.4239100226593351,-1.3451322839149609,5.5488116531019003,9.5855398704627195
248.12100000000001,0.34963485473776335,0.023913455114482229,-2.1902725343056604,0.011815188602987359,-0.90372694944060838,-1.3812297095482158,-1.7052875207670068,-1.6983471568819104,3.564266752273999,6.3788673212626694
248.17400000000001,0.26496846288463821,-0.26820023098587958,-2.7955163800959264,-0.39186055720483015,-1.3183307187052169,-1.7726618800180858,-1.9374314894554034,-1.9849935921807986,3.3194725088022063,5.9482204075457039
248.22800000000001,0.26125010323732439,-0.28449539713783562,-3.2738579298117521,-0.3724412088515674,-1.5700908297274441,-2.1633821456052433,-2.3720745401742045,-2.5510825605895233,2.8509046702686511,5.6569400608555336
248.28,0.41173948778649844,-0.11263853831821535,-3.8869691919019469,0.30339959135153904,-1.1385517389196833,-1.8451641269140135,-1.5958513409085135,-1.4298171609793566,5.707418168457191,9.7023921690616142
248.33299,0.61919074476020197,0.18003772559245268,-4.0372935182490517,1.4355196016127367,0.060153561832524627,-0.57306647909811748,0.61096157814597163,1.6374366207870885,11.669862564407513,17.271321207327496
248.38699,0.86325921068279399,0.55674674467072804,-3.4597356602492675,3.0528857205057269,2.2599288317412953,1.9993921950228564,4.6472204367481966,7.078136808125989,21.122326191156283,28.53684479763422
248.44,0.87612459330407777,0.68642472006444177,-2.7343878631362308,3.5276569029019313,3.2466498611896442,3.3422231505811331,7.0187949768493585,10.473198846277512,26.76601900002948,35.010092201734771
248.49199999999999,0.60827209546733918,0.23495240213457846,-2.5429475191446054,2.1971001116987043,1.9938804194886119,2.1172369754780096,4.9618193933558761,7.5163257862574584,20.190913256782661,26.371359347721803
248.54601,0.31010846191629676,-0.089690398873269794,-2.3364388894530879,0.6472051829474097,0.17605290981780453,0.084091577254057248,1.4882042476500592,2.7252054654430187,10.621243708436062,14.315653898348025
248.59899999999999,0.18166038503482101,-0.23264613249457192,-2.1814898899601922,0.014061594712328596,-0.46167364148160805,-0.56595844957231423,0.46396582697057576,1.3878784206358763,7.9662124595180694,10.919778148800097
248.65100000000001,0.1342646130417795,-0.22994808646355661,-2.1917036840503505,-0.317796348851624,-1.0087140310628684,-1.2551130246230624,-0.6688887762168616,-0.11141916553169806,5.4226366407649582,7.8968215030853655
248.70500000000001,0.16674892514733305,-0.17211757255186025,-2.3626321169121045,-0.11882663186233522,-0.90796622059232424,-1.2126115118123826,-0.60025100261605835,-0.043689063003873541,5.6666306561399304,8.3757073261313923
248.75800000000001,0.28927726538392107,0.069484645056889838,-2.0646159004147777,0.60387301678888505,-0.08605158374981392,-0.34145138012869308,0.59172299313173582,1.5554495264867776,8.7867405991386942,12.26841044954852
248.81,0.43216894775766607,0.40726285407108687,-1.1789359129459913,1.7642236489589567,1.5677408597920337,1.5924091472746134,3.3264509966249025,5.1222357752148762,14.424293326394007,18.835754155529376
