NC,RMSECV (wt.%)
1,3.8944040975364054
2,3.4481636432821388
3,3.0118390850851071
4,2.4171975617944792
5,2.1767957450294788
6,1.9081042064368918
7,1.7605537225073107
8,1.6790533880590668
9,1.636404488777061
10,1.568749967028827
