Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GBW07114,2,3,0.58,6.6031773519893822,3.8536208831268937,1.0113761109345489,3.0211042379471653,0.82724099718059207,1.2097859616873521,1.4704794305749029,2.2624544695077695,1.9998436288759383,1.731126482303841,1.0621803591494423,0.23334062352184759,-0.5815697714288639,-0.97794967747586625,-1.0796029598716146,-0.83306673387017938,0.035846984111341129,-0.13261293187865064,0.050145304425273096,0.36436681570423701
GBW07114,3,3,0.58,6.5610315553353296,3.7462206058680536,0.92759503184050018,2.9400875841921206,0.75593413279910493,1.0710791053282165,1.3535873505190832,2.1152586156502711,1.9059948467627343,1.6781288283437146,0.9442908774724863,0.083757732685036501,-0.79098570862113249,-1.2357153216677794,-1.3996217869849836,-1.1051635261136639,-0.12973984596393073,-0.27463373702438432,-0.077711453124123864,0.23101750824049994
GBW07114,4,3,0.58,6.2782163602650893,3.6074827998824635,0.81876751193331998,2.801102446156186,0.62910654397327903,1.0844726317198834,1.3842537453318098,2.2415743244509194,1.974588890945375,1.5581653612655568,0.72807481385683204,-0.28813074025253371,-1.2303674217408656,-1.6680764851122944,-1.781391170847197,-1.473314399333649,-0.4902120312731526,-0.61217597875920404,-0.35864708745723917,0.093821191874711829
GBW07114,5,3,0.58,6.5570650778961141,3.7024268448340099,0.81401232812323343,2.8623915402687654,0.70259985939724601,1.0758577653249173,1.3832022129410237,2.0849986878954549,1.7768649928792559,1.5821342123685351,0.8231957108070791,0.035394728363653982,-0.8246046354282548,-1.323476644330686,-1.5365948406343968,-1.2136757457681782,-0.10389828052216643,-0.23519276125889377,-0.049812646551817608,0.20153988153160718
GBW07216A,1,3,0.049,6.5735985734679332,4.0653295033284351,1.4020648838100804,2.9542907943852654,1.1516809731076876,0.73317243185129399,0.74973817713154745,1.1810903425268613,0.54727732873764623,0.60046239794888834,0.87635298258682681,1.3342924257773259,1.9428121389955297,2.2701792950080897,2.5141403971824605,2.4069798252210557,2.8964777011754439,2.6252211849741833,2.6017346610054712,2.4669685999652522
GBW07216A,2,3,0.049,6.3108604004575284,3.627874978969972,0.75699505027129455,2.210882786842383,0.33970010669388095,0.074695877855235793,0.16164808460972679,0.6082682280737135,-0.021939516789053926,-0.16807848649511925,-0.24009592209228359,-0.12090835571844494,0.11967973032527723,0.35586911170249458,0.59799755939706323,0.71198286357799745,1.5757834922965284,1.4591411448518254,1.5760807209389061,1.7347093172387815
GBW07216A,3,3,0.049,6.2503817272094491,3.6250009975854915,0.79166184985541932,2.2781902251903468,0.37991006511971115,0.055553477967773546,0.14410413779757292,0.54238744758960777,-0.10527254460010838,-0.22137494960632154,-0.26796001382015078,-0.056509818721268701,0.23971097727159574,0.44854191724689763,0.61898817827491648,0.71081614979865115,1.5998709604045107,1.4602774311114768,1.541785482162048,1.6000578878055407
GBW07216A,4,3,0.049,7.5870168175707136,4.4657142320556762,1.3206651672828649,2.4549781124066854,0.75799065683055389,0.30157891151762151,0.05559541979851268,0.86322136462593591,0.69875336774426877,0.68824622765449206,0.65974675227512058,0.26398448749563741,-0.32267456606876266,0.1448496791146674,0.19416033338857552,0.30196803015293838,0.041025208515824474,0.33272826157707236,0.59146162750117348,0.81742313949206746
GBW07216A,5,3,0.049,6.4663310754362477,3.9263653939893945,1.2240739652672268,2.7322440644497643,0.87382440497857772,0.4715510436907131,0.54238257027606807,0.97569060784110206,0.27681788723297807,0.11288422708437196,0.11226184765246572,0.2913362990340751,0.65485100015310493,0.89285119182248351,1.1506399510620824,1.1758398687952489,1.9646756937374157,1.7857586523172682,1.8529006666801813,1.9352843831010897
GBW07217A,1,5,0.95,4.715320165589107,-0.053959333733031301,3.3947463668605877,0.69085264272512603,0.40416909326630801,-0.39513094471801402,0.51016719567763147,0.97227968189350022,-0.094547588276698846,0.29421558832862083,0.51984442028723521,0.68514932089466285,0.92902434124027167,0.47165646296328134,0.22895061603879263,0.2792336482583373,0.11972794287940403,-0.062315369304300816,-0.39449086879484874,-0.68442032847675627
