NC,RMSECV (wt.%)
1,0.66890386206314978
2,0.52750187402034043
3,0.47151656054520269
4,0.45249959460533912
5,0.43926579937882104
6,0.43057667507129721
7,0.4210116525249189
8,0.40990186875587709
9,0.40700431742234955
10,0.39825258826486115
11,0.39391844562514178
12,0.40343977409936055
13,0.41817789013763312
14,0.41956295146200556
15,0.4307884780700984
16,0.43329088882509903
17,0.44283898548159278
18,0.44705284215091462
19,0.44833174020166855
20,0.46085391101991108
