Sample,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AGV2,4,59.3,49.165305347469825,52.398768077863224,54.22786327129694,56.587468437733421,59.207048240164276,58.820032769862429,58.84377906754608,60.217984199184336,60.715973406640543,60.678814369187137,59.972179110172164,60.580984761811301,60.84083335908381,59.252968396123194,59.600772304453088,59.821794020141212,59.601734681188958,59.231279064181408,59.750527265149103,60.15952572805984
AGV2,4,59.3,48.737880793225983,51.567312908646635,53.522746112019981,55.376297574220281,57.482331259961015,57.148812148336695,57.130762714972896,59.494021552839349,60.297724403425029,59.914519849135033,60.235455708382233,60.686526561280495,60.322014507573797,59.238040015512695,59.498534197872409,59.93258772243972,59.248501675899064,58.727964218026258,59.035424706629989,59.312259004131356
AGV2,4,59.3,48.674232779551104,52.639050341207984,54.585708055982863,56.839979182907179,59.215348688124642,59.171665187866573,59.255516884358663,61.057494492220286,61.83915862413464,61.608135325724454,61.911745011039827,62.410865839049201,61.784870236808786,60.61474130081168,60.907482673571742,61.527412152913421,61.120821827812314,60.614135579090032,61.071799075874949,61.74308594023136
AGV2,4,59.3,48.490030489985656,52.422799298414652,54.358249376734356,56.521010097317181,58.80194721958123,58.777279781228813,58.717500199336477,60.329214309248258,61.038030233221576,60.735067731471922,61.25861814895088,61.883367838231798,61.517153447207939,60.424844511441478,60.621735185005903,61.201314780925969,60.795570741285168,60.355637447179589,60.882494457494197,61.632842864145708
AGV2,4,59.3,48.918700880091926,52.534377161194911,54.551764654328622,57.000763820904723,59.249267576659292,59.252649621530203,59.153588214138487,60.365884477849121,61.031066408820678,60.875351763132329,60.89708067269612,61.62007515751133,61.469056050123164,60.152047578885345,60.274452638086778,60.803800534225608,60.686918534759855,60.32342876214598,60.695659796825097,61.519401296211797
BCR2,4,54.1,48.604273986039686,47.76978568093989,49.021776122817897,51.258298505001264,51.753032974510951,51.78679017219855,51.874620869648226,53.182724218870057,53.538287473166051,53.953094169461103,52.817557353232353,52.90031009569293,54.13934735323685,52.971888729766668,52.996761293806181,53.222712788980637,53.93564727708933,53.915698460501496,55.165899110892688,57.041736208183615
BCR2,4,54.1,48.615079704357363,48.315939096683032,49.914610844653055,52.119065689743813,52.89277671345603,52.928167887622131,53.210361620669126,56.080040148996588,56.488825423507961,55.948622539281772,55.356899463036548,55.254675995870883,55.675725503231895,54.9429063627056,55.587224231065761,56.12354542690538,55.817412417645066,55.339077042254843,56.386450283154858,57.348352741212068
BCR2,4,54.1,49.817353030754532,46.715276785729777,48.148461915683484,50.058484054856464,49.970623796992875,49.620186137478051,49.662739639616944,52.407677461893357,53.206209000478488,53.624209130849465,52.577022209391885,52.703713417012203,53.271125374069115,52.249443490409391,52.818217067694974,52.846941467696908,53.284113148865892,52.753568907675721,53.70092421909586,54.640924376831919
BCR2,4,54.1,49.325470087967197,47.633224786278419,49.637613775224821,51.378173181833262,51.558593401120248,51.457060346630989,51.323891616605302,53.935320174537495,54.429847718598218,53.015947996148931,51.891683924676073,52.168997916943155,52.428289419310985,51.870828699102312,52.780892811046911,53.780717910677495,54.27303546487844,53.934295272750155,55.076961265548206,55.915964312200018
BCR2,4,54.1,48.929124278829669,48.962154465087664,50.015337950964792,51.401106590895246,52.154018816364157,51.885741956783754,51.702571591785912,53.996056021795326,54.545600758189707,53.343455166713674,52.881939315980496,53.603008323597265,54.794613304041242,53.660431323635436,53.742380196607954,54.213705282475871,54.529150840880291,54.325789204265583,55.110459725002791,56.073170036017828
BEN,4,38.2,48.267351972941995,45.968078210726667,44.026945366126121,44.604386037162541,42.285868841300683,41.552164320754358,41.704988610670156,44.08675474385926,45.103023062202901,44.526302952675877,43.140612359049683,42.254691108092992,41.944927504519434,42.750824895289668,43.082428919134664,44.1930783434413,43.844658947333485,43.559616975355354,44.503502643418926,45.706988472815496
BEN,4,38.2,48.872984986498068,47.830014912127027,44.977582472570845,46.072070494553962,43.78821287385135,42.784744094283582,43.222767969728508,44.808805678670851,45.811947250418214,45.927456908301387,44.209405439484897,43.032692298020798,43.008371200668513,42.84155103114216,43.125019879670347,44.254790242085967,44.111515103308342,43.815273333234899,44.445777651944923,45.436445139933682
BEN,4,38.2,48.712294148242599,46.033062152831853,44.774528557959528,45.272185395768787,42.787746479092654,42.121251913279799,42.233599957780058,43.550244974106398,44.530163587246136,43.988034994418655,42.212199025630973,42.191008682761634,42.597467768022,42.68735699999911,42.84599985771797,43.750392945723945,43.586050650404701,43.24118074423204,43.982074440893641,45.016071469713339
BEN,4,38.2,48.968162164545291,46.199903110069457,44.161491305653897,44.714876740236313,42.335460870054447,41.533301869634307,41.730700640040972,44.014677617501292,45.243171306828287,44.348447014473393,42.505279834490572,41.174333054751536,40.581465236097358,41.64233222782655,42.184704223723813,43.404414564652413,42.844782564831803,42.372325415124052,42.828352203587521,43.56020664053132
BEN,4,38.2,48.547868921041548,46.266899845533914,44.56770919643845,45.360296560026761,43.139832584863726,42.554451532001529,42.584524883749019,44.211501470936646,45.084908887696599,44.173209280744111,42.040735150587878,41.283549435527362,41.202852008739725,41.769868158235269,41.847848836180354,42.883734325618313,42.622522515755769,42.320765741779205,42.942492306207264,44.035711121059506
