Sample,True_Comp,1,2,3,4,5
GBW07104,60.62,50.258665197218512,58.811372021663516,57.626105674869237,54.894800706095793,55.697484082428424
GBW07104,60.62,51.714728090644719,60.610812670814411,60.310359597845178,55.877327491617088,55.854864519811834
GBW07104,60.62,51.291116249725441,60.12504216881414,57.570701588341301,54.12835134805232,54.622085465242918
GBW07104,60.62,49.990022065833429,58.68675262918223,59.775934075114392,57.037451177393088,57.683793612402724
GBW07104,60.62,50.260708152757317,59.87988896965205,61.188072010182637,58.34340162155722,58.998383791319668
GBW07108,15.6,26.655894465413176,16.264934161912585,15.098776507440775,10.988010265462364,13.469376575697488
GBW07108,15.6,26.842637802383024,16.6114786848904,15.004180622625277,11.065676240930657,13.748160690146527
GBW07108,15.6,25.018080146848895,14.169119466832228,12.686235514575493,7.7384042344821964,10.289340187506049
GBW07108,15.6,27.468655380886698,18.250965977632838,17.312144135078476,14.238611585357695,16.820438935266203
GBW07108,15.6,25.630161821007434,15.062748379643523,14.068393701685174,9.6329534502815548,12.059250033904782
GBW07110,63.06,60.070647308882762,68.271828869106486,66.325563776622616,66.140451633041053,65.71769508432466
GBW07110,63.06,59.420210451521122,66.756745022490804,63.064749695833406,63.887327149578155,63.589681376660266
GBW07110,63.06,59.024166492445147,67.989665118560907,66.679615918546375,66.787500326320441,66.453484456163281
GBW07110,63.06,59.473925526907983,67.712580432589121,64.645175687828527,64.114699697615151,63.618330181947215
GBW07110,63.06,58.295370369095941,66.797499190577739,62.049448030490289,62.486488503505107,62.300695343005088
GBW07113,72.78,68.287271569209324,77.969168840415207,77.096043580053021,78.003315001195588,76.283888099939148
GBW07113,72.78,68.760868487019195,78.401507623106667,78.470811344451036,79.478683327906921,77.795334864186174
GBW07113,72.78,69.965452939171584,79.668571403374969,79.726941946546205,80.3639296394458,78.208672158400162
GBW07113,72.78,68.876303599025945,78.102604383315295,77.77871976895932,78.526555273229548,76.645001039167397
GBW07113,72.78,68.421957550894206,78.37857288389884,78.099588378076007,78.867614658909687,77.046017973901655
GBW07114,0.58,24.731039149534968,8.6560186129468875,14.607893128580763,8.372024351786628,7.2568868329179779
GBW07114,0.58,22.688854259627753,7.4991361428299612,13.949537904174356,8.4653346061130605,8.0995971322175819
GBW07114,0.58,22.63263432493931,7.4710783024503868,14.048989854272428,8.6215235244933481,8.215893509955599
GBW07114,0.58,22.204264016926977,6.9871464656315894,13.496199873503436,7.9811196459510327,7.5481541944017891
GBW07114,0.58,22.779841494556777,7.6337735648902267,14.471449705708501,8.9625772741821663,8.4754556392504128
GBW07216A,0.049,22.885444799993842,7.7747032527983535,12.7370723990933,7.4656606634845986,6.1272783040543572
GBW07216A,0.049,22.674956546292499,7.3803512211101392,12.349210413218508,6.7433027107614194,5.1836818469401251
GBW07216A,0.049,22.595505190082307,7.4078728366984379,12.664399834848133,7.0577109939629068,5.5620371181325297
GBW07216A,0.049,24.49598662309748,8.8940349814971427,11.602445886523583,6.5328888417520545,4.6632257724281132
GBW07216A,0.049,22.692342078226815,7.6237453177513075,12.69994786441324,7.3365918641119876,5.9167356778287754
GBW07217A,0.95,21.278361125781295,4.7771227019787332,13.238886448697151,9.4437170338869905,7.9753520386681771
GBW07217A,0.95,24.935769946925262,8.7153301405561834,15.81055873983297,11.361170718152053,10.176602477448398
GBW07217A,0.95,31.676002563872011,15.111329895645142,15.818484487305049,7.1141522181879608,6.908554969793208
GBW07217A,0.95,22.08181103591221,5.1039828490868047,13.654744832853005,9.5782463020137669,7.9149307744972432
GBW07217A,0.95,25.404153958177659,8.82459378911296,16.706384672838617,12.156470395287194,10.691945615441696
GBW07305,56.44,51.893454023831076,51.538469578183694,51.33197608310487,54.860790556357401,56.358859370076104
GBW07305,56.44,51.032298304990142,50.946039728903969,51.028890242991075,55.028997570156569,56.703520209602608
GBW07305,56.44,51.077229689500079,50.787443038437274,50.043590886731579,53.66936971324796,55.476233852813394
GBW07305,56.44,50.936341297911056,50.842680838785661,51.066317899193173,54.806548117075955,56.488322503554748
