NC,RMSEC (wt.%)
1,6.1985683956539654
2,5.4030570925144294
3,5.1622024053102118
4,4.4178412413569452
5,4.1660758823633026
6,3.8088182784259197
7,3.720882879190031
8,3.5284289351377538
9,3.4007920902739812
10,3.2805257782055062
11,3.1152809332781004
12,3.0158585343399382
13,2.8734105800243683
14,2.7480349514597364
15,2.6968786458378049
16,2.6274307726497739
17,2.5661014790828536
18,2.5407678047902933
19,2.4427354863646751
20,2.3756493761223512
