NC,RMSEP (wt.%)
1,5.6417728800388227
2,1.8050977597341085
3,1.8244438305400086
4,2.2025757670037338
5,2.4517738722036895
6,1.900252981145538
7,1.9097803172313434
8,2.0769754776732001
9,1.2686792314989837
10,1.4967582544252289
11,3.0652540402368507
12,4.64659504301755
13,6.4175904266554351
14,7.963721891197534
15,8.8756090828360268
16,10.134194532062798
17,11.416080545166372
18,12.891700877496914
19,14.565659813333912
20,16.150841454540181
