Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10
GBW07113,3,3,0.16,0.69066310108608853,0.12310310801000535,-0.083236905208276202,-0.013907115478443366,-0.13794069985464774,-0.19493886505377711,-0.14525063115159975,-0.14712307395645441,-0.10478804403502706,0.054148483044352602
GBW07113,4,3,0.16,0.73526387514095715,0.22858375011205156,0.053672749000604147,0.12505227038615097,-0.004249152897029207,-0.074641429402735548,-0.019941282318114872,-0.026683897813458257,0.0092581547877006454,0.1367603670344395
GBW07113,5,3,0.16,0.66294486050890411,0.16738583640635851,-0.03411074268125569,0.066141966055185186,-0.0735721812499599,-0.13924007950298289,-0.091472499468101098,-0.10182482988685493,-0.067134475407750083,0.083166154546503002
GBW07305,1,6,0.98,1.1264785760643061,1.4139278100295747,1.4460529935539947,1.6136120323275682,1.4748076836805555,1.3830120737664164,1.5056523319833681,1.5883089410314883,1.6115467520048892,1.5827521985003306
GBW07305,2,6,0.98,1.0945542395743604,1.4168032007607614,1.4556940268759289,1.6359594282125038,1.4931485330654377,1.3888514942852306,1.5024630037926714,1.5843770276729061,1.6069080539231093,1.5795472696227539
GBW07305,3,6,0.98,1.0757991318246893,1.3670450329410615,1.4166701515259033,1.6241454064333731,1.5087111205925368,1.4156531753746071,1.4896140682773615,1.5925086594711579,1.6068937716434843,1.5713840717825271
GBW07305,4,6,0.98,1.0913890740366234,1.4043836516475001,1.4493303367525296,1.6166299853915902,1.4749097840519159,1.3749549846526479,1.4913581281447819,1.567638027946431,1.5935679084560281,1.5688121020996209
GBW07305,5,6,0.98,1.1237352948423438,1.4209572366933254,1.4659241058908754,1.6328814893729084,1.4900156217092075,1.390143762904207,1.5196654025265743,1.6054855282100142,1.6290207870490252,1.6052519085388781
GBW07311,1,7,0.62,1.3436373032676641,1.0312615341446509,0.93117807984593914,0.95443037567492939,0.83880311347643577,0.79648608144538147,0.83786754512305761,0.89955645386869032,0.9675751829722562,0.87806415095845991
GBW07311,2,7,0.62,1.2596223148333785,0.94984351072726902,0.82852309786348322,0.83287281159390303,0.70171758280016061,0.66427014845936716,0.75281156164340512,0.79134443808131139,0.86738781950017796,0.76236370858813463
GBW07311,3,7,0.62,1.3995559097599877,1.1199914180240182,1.0434805635357103,1.0454508972679735,0.90938244309315996,0.8855373798808176,1.0335027998070498,1.1072680290531471,1.1543525283465006,1.0917455513009133
GBW07311,4,7,0.62,1.2864927639067723,0.93226078473740726,0.81625165651673515,0.82204663376968878,0.7143402653605897,0.69990242060390551,0.81571087890316452,0.88760978678687008,0.95767134117853814,0.96419774736062058
GBW07311,5,7,0.62,1.2917520091507897,0.88187019615943119,0.75273469438166163,0.73568029090944609,0.64831188268769335,0.658316314984286,0.76238534640553535,0.8397136159513815,0.91563971165515989,0.84558332115155654
GBW07312,1,4,0.47,0.98281848130988114,0.78797165023502158,0.74306330892335681,0.78849272454593666,0.61227897287571675,0.49656354439204597,0.62759245806999708,0.64052752249641187,0.69833347636980692,0.68624296260724071
GBW07312,2,4,0.47,1.0125623289199606,0.80429960617486851,0.73570606991411669,0.76688059022868138,0.58966591162092641,0.47440261239259973,0.59424183599080649,0.60772763039075528,0.66695712351414671,0.72090953547165337
GBW07312,3,4,0.47,0.98455318546662951,0.72519955762778698,0.68212806070151699,0.69602477263827411,0.54007253279650902,0.45456516631046284,0.56405213885461691,0.58201593279238217,0.64719838478198521,0.58313202844830103
GBW07312,4,4,0.47,0.99038595784832961,0.7599111162048019,0.6961027175152219,0.73037120775697117,0.59277072070137138,0.52603413647984931,0.65612530708086425,0.67915606231130454,0.74788044705304868,0.77196985244028249
GBW07312,5,4,0.47,0.97527652852713365,0.74036836025566943,0.66275905867872498,0.69364821151558864,0.54935449451686091,0.46663596383431649,0.579676577353605,0.60187150994063143,0.67273311354474663,0.69493430615606677
GBW07316,1,4,2.04,0.87181587331006083,1.8682747874531795,1.9240655050698705,1.9728237251514957,1.8988587323676418,1.873037620260229,1.8711525374733005,1.8095743992933568,1.8163934019078698,1.7793430588676487
GBW07316,2,4,2.04,0.88198968983304804,1.7975619901412807,1.872669436064484,1.9533980856467421,1.8915607664976615,1.8855092171903673,1.8957175092225467,1.8401884305000766,1.8462865127033397,1.8594232195664848
GBW07316,3,4,2.04,0.8553528863558203,1.833077667655004,1.896073299907882,1.9522864922394254,1.8993188898724256,1.8792158955137355,1.8784496257876158,1.8259926452671595,1.8332994059922947,1.8443956203552867
GBW07316,4,4,2.04,0.86128821797094324,1.8913946374998285,1.9518388223701519,2.0030004003853663,1.9193446073047991,1.8881656747509863,1.888512200838723,1.8318160761537903,1.8436926933130409,1.792609297992044
GBW07316,5,4,2.04,0.88804739457836568,1.8748006884656601,1.931680620062842,1.988293707404386,1.9048727971904635,1.8752565124598604,1.8806227410378598,1.826915259639285,1.8401875459095929,1.8106367733282027
GUWGNA,1,4,0.034,0.44606073771900845,-0.16248804095388536,-0.27924690768024307,-0.32456607211078747,-0.37347947976024432,-0.45591634484626953,-0.11859305327758385,0.019275720169865451,0.098509572827830683,0.17736912295213303
GUWGNA,2,4,0.034,0.51902131537857743,-0.16146900964765942,-0.045239793155025465,-0.13247043055521779,-0.12338289885907416,-0.20360454748390899,0.16172877302421629,0.29259417844987379,0.3598891752695037,0.74250354926189899
GUWGNA,3,4,0.034,0.45284030468871306,-0.16200300401284329,-0.22430780844657994,-0.28680715057784423,-0.37335422078375924,-0.45435211631222705,-0.12162837161719553,-0.0065796734598566609,0.037134064492010843,0.073238811605265575
GUWGNA,4,4,0.034,0.44438735613339242,-0.19578145216873288,-0.25114731170555604,-0.30509837534396445,-0.35409957133715286,-0.41737581769241006,-0.10176970155250054,0.0066715164655550829,0.061471573389138001,0.081408819290428092
GUWGNA,5,4,0.034,0.43382957486464746,-0.213989458025303,-0.30969249834842749,-0.36279333600355623,-0.40160564045144964,-0.43335714248559531,-0.12803286650040158,-0.015242692604767294,0.047699517582409978,0.034813721387931817
GYPB,1,4,1.8,0.65784160190971674,2.0665782318521613,2.0958507324830804,1.8101258377295795,1.906619467136222,2.0268010966727377,2.0087056672519665,2.0814000361266332,2.1110190112953164,2.0935057357190794
GYPB,2,4,1.8,0.58653917187909621,1.9831378358801879,2.0096226527809713,1.7101844873400109,1.7923022960538189,1.8993682369725642,1.8528723262789086,1.9188904964910511,1.9397723312368014,1.9463910655089169
GYPB,3,4,1.8,0.80942570856876517,2.2267595328800098,2.2524922664443596,1.938965660462149,2.0353118216001866,2.1644815609360362,2.1283046435613282,2.2016759285005287,2.241996023720688,2.2531412092747454
GYPB,4,4,1.8,0.75960756770399018,2.2825888871751827,2.314590289212441,1.9790212866069501,2.0571518429798195,2.1725565681809762,2.1271600896774139,2.1891348812906646,2.2184593271718502,2.1635234390112754
GYPB,5,4,1.8,0.8957630172224994,2.3172582227936118,2.3574202853937378,2.0959542452252951,2.2111214316742225,2.3545418474311433,2.3483816690045756,2.4257492344417271,2.4671328568212605,2.4795055401099502
