NC,RMSEC (wt.%)
1,9.2515389993449748
2,8.4527367054680962
3,6.9546031141465088
4,6.5551223021618314
5,6.3868369547176629
6,6.260957204675603
7,5.8666052398866073
8,5.8736406698568828
9,6.1731743346128907
10,6.0532697139836182
