Sample,True_Comp,1,2,3,4,5,6,7,8,9,10
AGV2,59.3,52.284674022136755,62.1743512485479,59.977816130275883,60.63930925235951,61.104969185517341,60.551779761138924,60.240629382235937,61.197894301284514,60.565331759007428,60.067913285048576
AGV2,59.3,52.128149562863811,61.621103522397888,59.129237528395336,60.093455669782465,60.49988674427906,60.244221578528844,60.215549789998121,61.383248851957177,60.278054684073986,59.573921938394221
AGV2,59.3,51.890990260149948,61.715360734552299,59.96776849275345,60.675185416340945,61.267333297194163,60.856696839045533,60.547030556337859,61.960222180981539,61.337307378788005,60.87316798499382
AGV2,59.3,51.683499725605571,61.549548646163402,59.495546908951795,60.199813887031993,60.773416172394747,60.332546727039912,60.007624254589956,61.468622111545223,60.637800261693698,60.233905629385916
AGV2,59.3,52.103472248364739,61.705305467842194,58.802178299357323,59.507314283499603,60.255997394089476,59.861943966483885,59.607976437258095,60.887975618520358,60.592826105674945,60.0710569898702
BCR2,54.1,47.763091234674214,53.674222922487743,48.632996399717499,52.053083948812493,52.335818105941506,52.437409172402951,52.850216369753994,53.426927056831225,54.02805844676444,53.543126558425321
BCR2,54.1,49.225892408497501,55.911934161854177,52.947465376957325,57.289126756192971,57.618410864236083,57.878944684393851,58.463961327367059,59.656063931624786,59.288820733582469,58.680636780007582
BCR2,54.1,49.589453261802198,53.787105136081244,48.134255992403084,52.012406878063651,51.650790453104605,51.970405050844654,52.721224138917194,52.697729940946758,52.454309440981959,51.744128978304701
BCR2,54.1,51.539627451648428,58.100330614825232,53.441696225355983,56.505859632067363,56.154393403213348,56.253086594604262,57.18223744305714,58.127232634027962,56.76742996253806,56.561643348688257
BCR2,54.1,48.927106936694152,55.096553379727887,51.274172813996032,54.189122007304199,54.685194567669086,54.942972047076346,55.776503866871558,56.682436123214686,57.313721682985118,56.671417965779526
BEN,38.2,39.933533082985861,40.917507966854977,37.369331344641857,40.883670126124741,41.147933996094295,40.788506301121032,40.437130374714002,39.426126381268617,38.795723558391565,37.918215410345461
BEN,38.2,39.83651410980444,40.459116479576529,38.533348685049987,41.201588255499345,41.980310019989169,41.240966664765182,40.890331424632294,39.644460207898319,38.888595906712787,37.572630225377502
BEN,38.2,41.946274939822857,43.165011626164386,37.403458004726531,40.145298804005279,40.497699449785358,40.29294498981497,40.032910734136678,38.879434580079625,38.283457291966435,37.208621204576254
BEN,38.2,41.016556413030443,42.0218832912403,38.581803907176521,41.841406378675927,42.017176829707658,41.563747629120549,41.258259254301159,40.092243034912201,38.808831944328432,37.558870658856058
BEN,38.2,40.94625368074005,42.312183646957216,37.760393172155013,40.830533937326109,41.250236005538909,40.859630868192141,40.502196797342464,39.381170290277396,38.650191133044274,37.558810579475171
BHVO2,49.9,43.971020370201877,47.556742430983448,46.323767233112555,49.627199935076973,49.911096947225339,50.098881193770218,50.283102863030578,49.562161768210814,47.969369284077104,48.083013424013082
BHVO2,49.9,43.621536924803074,47.492848032676541,45.800637630762402,49.98803640300526,50.581895022267766,50.848624467699182,51.123963409183318,50.525196735626224,49.451856126216846,49.390834665120174
BHVO2,49.9,43.183467491127693,47.246751474808818,47.615238143181784,52.069533075824154,52.707824490263739,52.867376162948467,52.916619933929866,52.113541259103471,49.959155671128904,49.650107500641262
BHVO2,49.9,44.303893617137675,48.401228519947175,47.327478893770945,51.286607356156189,51.952954709283539,52.261467890010486,52.695320873339661,52.14669034798704,50.467115901400561,50.354484877194679
BHVO2,49.9,44.235046171456567,48.402946769205748,47.702421739042506,51.610551649920382,52.119981309286132,52.33813456922443,52.568071575774241,52.001954528227024,49.818351400273421,49.743613732809166
BIR1A,47.96,39.435843306561068,42.510975208473425,47.536550988363089,48.34463526119157,47.890482533752277,46.969659181028682,46.968169057310149,46.111670484843771,44.961710510124306,46.065623579357016
BIR1A,47.96,38.817057543558136,41.251745678521878,46.440854785159615,46.93150994035134,46.807221709028319,45.840466963289572,46.245550095589707,45.361694301289646,45.074766925437068,46.232946478132106
BIR1A,47.96,40.007478533312465,41.50706567344389,46.081843119413804,47.412988654943256,46.684831823427771,45.765668638713052,46.101882248763246,44.83663948427963,44.224631371246474,45.445547400619525
BIR1A,47.96,41.554194740227643,42.033631794920858,46.391548366395597,47.317331113754037,45.745241774363521,44.256551323988631,45.257339050183752,43.704259335407855,44.061023243979506,45.390693049932523
BIR1A,47.96,36.427237506128925,37.504527620320566,43.880063289791863,46.060577418859381,45.737255620280436,44.851774379384523,45.183069834674441,44.322683870366063,44.084811055656502,45.107662702004589
BK2,58.83,60.16181555168928,54.304826844413711,50.693734415310644,55.921476924247486,54.850983438157918,53.547383559768029,52.967835074871289,54.291451897511216,53.157083910296684,51.034305809882753
BK2,58.83,56.271854700785326,59.596347220414593,50.385835245284227,53.103510965316254,52.934424496590054,53.719219224717172,55.646098711303694,56.269087036415584,54.785881419908577,53.633089737951316
BK2,58.83,53.010723877705914,60.982991515748878,61.483175587954726,62.298305582496283,63.187236241895583,62.504719295166574,61.424077798608174,63.09494119491314,62.553002011395023,61.432009488489669
BK2,58.83,61.034337534151305,54.504059228863625,49.249483641937374,54.354588301776481,54.440824293299556,53.31665152745996,52.858646172710344,54.604824776969011,54.485637480065719,51.999833653429462
BK2,58.83,58.463483668109923,54.489762087032609,48.817127211734302,53.332135718641908,53.505014199479717,52.298937210947159,51.503638997287787,52.967579836986801,52.702359982638683,50.660823056834303
BT2,48.57,45.769562466839808,49.435341241576907,50.280733580171891,50.072452545900028,49.696208216034549,47.820406481404476,49.427527015866069,49.196529650138416,52.011219879376256,51.950477766500278
BT2,48.57,43.559381304286312,49.073456580916627,49.867803462908789,50.736391057216622,51.39589429617903,50.112476070368203,50.519470712012748,50.490788639300035,50.966664222439519,50.770585719656196
BT2,48.57,44.164054061119842,49.345645934810911,50.724102531149228,51.695154884894642,52.987420045506354,51.900252228212281,51.723804908959536,50.88245224842283,50.368191828656727,49.8945632305728
BT2,48.57,45.191362375613849,48.281633874966516,49.615910878768553,49.920308126631717,49.49161425026648,47.646410791250169,48.988674172765869,48.419434233519418,49.977157995131257,49.679790957039792
BT2,48.57,42.800906140903791,48.48093417337973,49.820764019681548,51.150453440777994,52.193985238512404,51.249276003251381,50.969175776523038,50.360280198825691,49.087798433279609,49.043334476922773
CADILLAC,72.2,68.705960963329616,83.88332711081955,82.425184218159103,75.922651943834992,75.483169537109603,75.17319254482365,73.671001507699287,75.119802175545772,73.027590181397812,71.146709450777621
CADILLAC,72.2,62.218571975483378,75.543556578356998,73.895750461796169,71.638215370485113,71.506943316734976,71.263355697997,70.69777810755312,72.233790375907802,70.818429342466331,69.719770889325886
CADILLAC,72.2,65.230089289820739,78.831568669650864,78.198344211915384,74.266400457093454,73.768241310164598,73.694569816842318,73.187446483168557,74.678053090118368,73.044359969842475,71.945967936119729
CADILLAC,72.2,67.920512561472606,82.591144014910398,84.150720720967044,79.300160208592004,78.608892271858267,79.076941706678994,78.914727283929395,80.233561381223296,77.97944972001018,76.382409850749667
CADILLAC,72.2,62.973486346403739,75.917813429831398,74.228462249799492,70.632230621459229,70.446299908138428,70.423751623838427,70.479211863339643,71.833121166069816,70.819145500673685,69.792476506495078
GBW07103,72.83,61.639463017939264,71.881582341132827,72.506157746296935,71.297413819937802,71.672092049486736,71.517035670182722,70.678341956602083,72.876388053541703,72.262172697230042,71.167881883922931
GBW07103,72.83,61.899456704210309,73.242395448722476,75.51005710570945,73.704653839559214,74.085242401427649,74.128542305506443,72.949727943383863,74.773046098015186,72.704561214718609,71.176030119196383
GBW07103,72.83,61.818311392146597,73.466772555639224,75.845516389647045,74.233005768401384,74.652065394886819,74.669087407380971,73.577836424007046,75.547985780505343,74.242134664514992,72.927349264078273
GBW07103,72.83,63.141269640483884,74.156096169434079,75.085554494313484,73.649137192760847,74.213977194072882,74.072946520096366,72.712918687181556,74.783121028226475,72.180528416365902,70.332890599461223
GBW07103,72.83,63.568277812533083,73.360125903108838,74.735387225370431,74.321811992723255,73.968888481682228,74.099370955697665,74.2255221165953,76.362076876789843,74.843079249400503,74.051341366164124
GBW07104,60.62,50.518049241474941,59.166961643706472,57.721874363066611,55.629276405339745,56.384840485935861,55.641064923061414,55.706062336526678,56.665152692422566,57.248755850310076,56.771657377128882
GBW07104,60.62,51.979257949976834,60.896864781984299,60.245676724246692,56.403889712235284,56.404747378592781,55.766125075213004,56.169481785891499,57.212145802920332,57.658924323513524,58.155397301785008
GBW07104,60.62,51.611051473634824,60.509319920951086,57.638584033384348,54.216124318464544,55.006880228681119,54.679804074542382,55.116136907296699,55.929626855663642,57.154055605626226,56.862780170619743
GBW07104,60.62,50.193954843460688,58.92402728993558,59.577979139180471,57.750835016614829,58.233372401290708,57.370958413926409,57.20960933627439,58.172664834989696,57.672636890996515,57.24439313586943
GBW07104,60.62,50.476772348542745,60.120459299727436,60.918132592435001,58.912263909532243,59.565821053481258,58.839095686556341,58.65019563336493,59.664895181411417,59.217512046736516,58.767178687241248
GBW07108,15.6,25.942212943810425,15.526547568715841,15.35418571100071,11.547381555326126,13.035013432159943,14.81174456689557,12.93369643691355,14.975083094150591,15.10284210857197,15.741865790996805
GBW07108,15.6,26.115420121337799,15.8386413239162,15.229157836712318,11.700985904974395,13.432470025775416,15.406188127770463,13.765187016865241,16.104900152660576,16.918207267375315,17.461864994379745
GBW07108,15.6,24.284896689211486,13.425689855220192,13.033078982955566,8.337508115192513,9.9507892754199503,11.866995903461827,10.119740149813012,12.558430712430166,12.909163043591974,13.619322133346778
GBW07108,15.6,26.752308145645735,17.467323625773929,17.456325456849655,14.83322722489568,16.528387430005566,18.306904691895966,16.418020736496537,18.522411187181525,18.930925806809569,19.438878656823036
