Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BEN,1,4,13.15,11.127821424444537,7.1016361546458207,11.22286336939742,12.615120135226434,12.880878584549656,12.988605683717118,12.964826333042785,12.747579368557185,12.55084580126092,12.663834132417612,13.315275873027472,13.954860578504793,13.537943388635448,13.722678984868336,13.71565073462212,13.882509112971771,13.807113851236917,13.902872893882874,13.733625723822861,14.086282097293157
BEN,2,4,13.15,12.018567850653691,8.5144675576649504,12.447096488864617,13.742279836998442,13.687995009704249,13.315874808022791,13.243473891996651,13.176466860959898,12.815787733242864,12.666511219127116,12.919581418167429,13.225715568429687,13.227286202767834,13.424875555076641,13.370376679711008,13.570587051134428,13.957093532994062,14.194967386317918,13.987577232759808,14.287726845658396
BEN,3,4,13.15,10.865828811494461,5.8421604357833523,9.8053946916114203,11.536454880132412,11.659687727827141,11.772421134749072,11.717743835877346,11.663184776701389,11.490850545034432,11.256843466157569,11.819059761654009,12.486753443011342,12.148874606031965,12.321517698229318,12.127864722774962,12.215523987686055,12.099162353463157,12.141584329983834,11.951616230039193,12.383624089727515
BEN,4,4,13.15,11.696266676519127,7.4277063025827701,11.43531857986072,12.788871379400655,12.932554342863781,12.960397573708423,12.901627708259662,12.726970991020407,12.442354062186141,12.522888673487975,13.149503520001588,13.719958181769744,13.257928870750675,13.363108786736277,13.306284892995286,13.399059194269473,13.215151164357085,13.238025206926441,12.903737029254511,13.32939441208423
BEN,5,4,13.15,11.002883434312366,6.5053713254010468,10.7484799855342,12.343374352165192,12.52990557173116,12.540438382927569,12.416840968740868,12.25573298979543,12.003419709844231,11.889737717755187,12.410777870791584,12.979095244956071,12.711379646376813,12.876622607916339,12.834940767852812,12.990202074583395,12.951194364723342,13.000587643364694,12.776626747192324,13.172254906474576
DH4909,1,6,56.14,45.533062111772054,49.153196503332055,53.703366191365959,55.757991874708992,57.153162293275301,57.466454061292914,58.382055879166963,59.281438077829186,58.845324823612891,58.977761896375924,58.746942121102734,58.281902824058925,57.503625156437288,57.422891997169877,57.798560775777467,57.646890105993101,57.151482454752831,57.02684318127735,56.579877523453113,56.243356563394507
DH4909,2,6,56.14,44.0534114360103,46.10410140144495,48.327515622836529,48.883839917547263,50.066089174078556,50.515674155712603,51.003167111560174,52.005864288663282,51.986518876277088,52.326823998437206,52.620774396883164,52.834018725504897,53.532778048185804,53.981846564422106,54.645876234144424,54.767881678569253,54.975867529854838,55.425698713790496,55.376636799553268,55.872533071408654
DH4909,3,6,56.14,44.398931948930731,46.723698070709773,49.305873231329365,50.060249066155237,51.079770900604586,51.470984503543704,52.285016106142457,53.417805901358832,53.077104643394684,53.54787820257998,53.686782017769183,53.614601549903739,53.697951710176383,53.958243649597833,54.282792074775955,54.074926935900216,53.897946412325766,54.170977451471231,54.142874721694852,54.590240307102036
DH4909,4,6,56.14,44.348578674572707,47.523240656990922,51.554500827588626,53.146463673913701,54.395982382922583,54.713239632612812,55.474436691650638,56.295217451828243,56.030222358600959,56.326438082130323,56.279592492529922,56.037712321591911,55.486163862036463,55.474991585184142,55.975887685597748,55.880784260585543,55.552761771138847,55.660283938471522,55.455411016606774,55.467896111435479
DH4909,5,6,56.14,45.458079532901081,48.671355830557474,52.393419905428686,53.822735715841013,55.314816337701544,55.756168662669097,56.487249704220751,57.497055794872907,57.105271646630342,57.390036654542193,57.391049205555881,57.269885309684646,57.166484255859501,57.383128991169514,57.745044215264294,57.577212103260891,57.222836813222251,57.217675610531067,56.897735196421621,56.709249193733207
