NC,RMSEP (wt.%)
1,3.7028789985281119
2,3.4376059057050457
3,2.9332994171940832
4,2.5802302865060778
5,2.5183869747523877
6,2.4998489680092622
7,2.5432367738575752
8,2.5409389062240528
9,2.846247870516291
10,2.9614627989527098
11,2.9128984949153964
12,2.9457174119542948
13,2.6542666048023511
14,2.7818087715281119
15,2.6260097124929378
16,2.6037326701089856
17,2.7187191144529672
18,2.8928649158694033
19,2.976469366615845
20,3.0606761956632589
