Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AGV2,1,4,59.3,49.716202785991229,52.560298912801251,54.781719593721981,58.071837731861109,59.75854540155882,59.384138115259994,59.496533198892791,60.48694736914716,60.379724913507218,60.140934951622057,59.437900487367429,59.991229312876165,60.649014532023372,59.56551934557671,59.219084125645821,59.534165789456694,59.891966514591175,59.544168204181283,59.314710039911972,58.440740723681444
AGV2,2,4,59.3,49.359482120349796,51.746796664611828,54.031354136528208,56.495009340505341,57.812950245433264,57.438523279613428,57.613099988363885,60.061846572877506,60.213731196843,60.026487137959542,60.519613951830905,61.167594349575651,61.41759322303551,60.07365885631863,59.638081239341368,59.675701746479575,59.20915767862266,58.954034916127206,59.268108146097795,58.531833427907252
AGV2,3,4,59.3,49.233274293720925,52.738677679157369,55.039434306980247,58.030932909196999,59.49506967707002,59.439052784441252,59.65724011168264,61.464300007790328,61.5820589129724,61.265911356024155,61.560215542069763,62.349929650155843,62.547496391347018,61.06889261752503,60.586776849619277,60.700548262101655,60.757811950174464,60.646411059894632,60.922151084180925,59.854263291488472
AGV2,4,4,59.3,49.062463544540513,52.522715612119697,54.812333355626173,57.68443310484485,59.098838191983901,59.078884165432484,59.179680834821319,60.861909837922781,60.929919641988114,60.572518522756269,61.047992214563379,61.927367610824732,62.294998647189615,60.945565895185482,60.362215363984404,60.318370050845751,60.289692548443455,60.248210743370215,60.767481054156924,59.772924525423932
AGV2,5,4,59.3,49.480320403940595,52.641112349236749,55.011697189426719,58.240744938923662,59.593574628514752,59.63694680856338,59.694721181444194,60.895122708662122,61.068954120968229,60.759270478082691,60.760229843324623,61.540278716162007,61.824366958927286,60.559811601377817,59.839826664854918,59.856065147011648,60.240075512265776,60.222183103103426,60.480228403902203,59.563187687175699
BCR2,1,4,54.1,49.266898450170352,47.955896305219653,49.522231992992751,52.13592473150274,52.226230611348633,52.346798986068897,52.397843913708968,53.271320033256259,53.445641897562531,53.627506786092063,52.404043090219737,52.333181818197183,53.631930328168856,52.972553060605556,52.415476118624277,52.177735257255925,53.362263364731362,53.610687997195136,55.035391833555828,55.440245650357276
BCR2,2,4,54.1,49.305045175776364,48.526676239980112,50.427643742087319,53.002480918759581,53.255785154971264,53.206770258763413,53.453092081738866,55.899245512017174,55.285705577859652,54.821945179360604,54.234680415392994,54.347260826105547,55.587846191833485,54.6474488258741,54.70175425272479,55.089808928902272,55.396543515722023,55.165382497686707,55.70250831036234,55.483333335873738
BCR2,3,4,54.1,50.542316608022055,47.034716647389224,48.704412942541545,50.804992677631439,50.428924425342757,49.872756106257739,49.908408223035167,52.105087942423204,52.562292068655708,52.780302589933655,51.842722578339874,51.941781355312195,52.990032484791776,52.062007969070869,52.115844012618517,52.048810677221709,52.778938836449591,52.42071564260791,52.825197457104657,52.964984019305504
BCR2,4,4,54.1,50.103482760029841,47.953213255682179,50.176521367813208,52.063214947491637,51.894916975919628,51.6530907981399,51.645380759554193,54.174709287072439,53.682298162347941,52.649226207978074,52.033170563212614,52.467641369781525,53.478692558896213,52.663093130278163,52.839990102270178,53.386988994700843,54.070639210719776,53.897363574799421,54.74126254166422,54.5830351347469
BCR2,5,4,54.1,49.539228726208862,49.148677232955741,50.50119243835293,52.246949673356937,52.663555195546223,52.317643335636625,52.306769526899274,54.748660532494661,54.622204589209758,53.861288655971222,53.597394343506934,54.020940677294888,55.077117852945321,54.404958927178008,54.000753818092903,54.013362307242652,54.645748368199527,54.706675495987199,55.575714985953041,55.867141581431888
BEN,1,4,38.2,48.571085348292712,45.748634364289948,43.992410363052826,44.026859390723779,42.13170967031089,41.202676674543575,41.324253793630724,43.63139555397688,43.777575601791426,42.709074920850327,41.413656182609543,40.860794009271849,41.423982753495906,40.890308629701153,40.81452647506395,41.059583676987991,40.956152066764687,40.949990384776825,41.602424058875144,41.705978473570553
BEN,2,4,38.2,48.929656205084427,47.403333011859722,44.787885079546697,45.638031773140042,43.763281485632014,42.839961829079662,43.182088280254767,44.502729623858201,44.926096781847392,44.279185588791741,42.620466323655108,41.669096792845998,42.200907289251759,41.011986394002058,40.687184148351889,41.031389433366343,41.309139418076363,41.152497668329751,40.968366022423993,40.936275947402024
