NC,RMSEP (wt.%)
1,10.192995591088884
2,8.0780108743666563
3,6.3509120532411591
4,5.5584723922228259
5,5.3331624057513611
6,5.2130059623974878
7,4.9688802469569797
8,4.8066777878895497
9,4.4851714522850887
10,4.3610569640627519
