Sample,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AGV2,4,59.3,51.916761256994022,61.804521056514581,60.279808517132103,60.077315791141238,60.692125210874543,60.621721300341903,60.417788631929859,61.578286646873806,60.9475256026086,60.404966245388344,59.998286046145111,61.105887975537485,61.684020207674202,61.881549017374809,61.508696077804274,61.67540437843752,62.316459926189921,62.450636628099396,62.731783096375743,63.017738794576324
AGV2,4,59.3,51.743274294150964,61.286296836856046,59.642578985713961,59.809157939735343,60.239751740873032,60.503678079637965,60.707389840823033,62.049325003606263,60.87096545999875,60.127062974418131,59.583481303995889,60.258460083593043,60.482636499929782,60.573936677350346,59.36212112564553,59.221702760882849,60.353834634523388,60.519884150295198,60.873184003819425,61.259871461674003
AGV2,4,59.3,51.548649150823607,61.446485570257828,60.560340014545574,60.235280139015785,60.843955122479002,61.118379518337179,60.98792350990793,62.501942388351814,61.852476475127496,61.384877668252599,61.0191782167445,61.820056003912242,62.249640289167424,62.462667854970199,61.65908769720874,61.813815291791542,62.535501806719168,62.65200035755224,62.771156881131567,62.775095203613311
AGV2,4,59.3,51.349566587409555,61.315959557896129,60.156492193253136,59.715367524523906,60.311130221398621,60.57222099656412,60.4306178059188,62.008826697821277,61.166273244419344,60.814052062932646,60.558220410990131,61.405205857108285,61.86413663436641,62.062604759034976,61.268927074152899,61.461667821192158,62.011757119141635,62.099682138382889,62.354239031823717,62.461073789560267
AGV2,4,59.3,51.740886365370528,61.397825137220956,59.264750368318822,59.071191372080442,59.79996606435801,60.090289575654246,59.871953712422496,61.236452078900605,60.81259561640146,60.320342484580991,60.205691475222125,61.432297129193635,62.055703973916302,62.387436050945418,61.95053510331077,62.181216885734706,62.62302715034329,62.783889861303578,62.937752476507946,62.916246226430516
BCR2,4,54.1,47.254844547217303,52.99985588744169,48.575354059342772,51.683907009705457,52.126517140767895,52.20061232944731,52.359834547655019,53.306685771048073,53.577235535211983,52.814449400870224,53.22450973094633,53.978614760333663,54.246212719618256,54.596598179999056,56.422952492357304,56.061766524583916,55.833252242456375,55.741689179234484,55.532121171821956,55.253706582648036
BCR2,4,54.1,48.769605339673433,55.450535577612577,53.48185030747883,57.17656337951604,57.582242307958367,58.018940580080844,58.775183617013766,60.400697120794582,59.894654038990545,58.977342540691183,58.732403116899199,58.332877080520099,57.88007611303474,57.839327462746574,57.987168927821486,57.074666054509329,57.418716235812902,57.48074046776766,57.814268148960188,58.109481947770675
BCR2,4,54.1,49.016989145614524,53.044393043687954,47.96627944575809,52.11294092599374,52.064092248231859,51.865126870874043,52.34041199505721,52.872509157975706,52.564105023788315,51.62256115562856,52.250682397054348,52.786200453135557,52.693616755497793,52.866277356425059,53.883762094657321,53.059769864685904,53.184355723345213,53.196338510681372,53.251736020978946,52.871334904681831
BCR2,4,54.1,51.057247616211448,57.672847637939213,53.896303863609226,56.354117851665272,56.237201094067544,56.148919404497747,57.226893918977616,58.701962271693098,57.497314477288313,57.135182965490515,57.784051109525258,57.501225304366443,57.055008504565571,56.815614834416323,55.773747610793151,56.447418703081574,56.522030484451854,56.458538024452118,57.497227808606247,57.969689877084136
BCR2,4,54.1,48.462646331413602,54.507784758629469,51.334080812318305,54.01843920035698,54.518012499445732,55.015928536159123,55.904533366535695,57.024845657348997,57.208979452731619,56.384290379881904,56.023442075476453,56.393254542709478,56.294942029783336,56.487128919957563,56.856022010029697,55.189974504337805,54.846815413901027,54.755379076072543,55.338964517220184,55.796062278778862
