wvl,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
246.63498999999999,-11.880323570906745,-21.406657726855368,-42.896554605334352,-40.404449167222403,-102.58811658631234,-121.14558654658101,-184.66090155485429,-234.10990649675867,-346.7978775464631,-372.16187514495999,-417.52363705741931,-440.04593928203144,-411.35205358863851,-437.39528203030056,-427.04739177843209,-395.38631562573386,-296.66853681534155,-327.69034785493147,-321.47925814981352,-305.80415345054809
246.68799999999999,-11.397460570259335,-20.354726487358292,-40.714085371994358,-38.50605452400346,-98.643802669564593,-116.43045674155118,-176.68675824326772,-223.02802118297208,-328.63771760930763,-350.31731881948576,-388.99356107814282,-407.16814957888948,-371.86786808052847,-386.26947494475507,-366.73495458588752,-323.1493495968453,-211.438871707788,-236.41868719847682,-224.76121539770162,-204.18829300997467
246.74100000000001,-10.312027090159319,-18.365100723773111,-36.732862182075465,-35.704426695178867,-93.297056876406671,-111.02242091998512,-169.77087656021706,-214.38823168762508,-317.55336009288385,-340.10378796802036,-381.63665705511414,-402.42876118901779,-377.22281754544321,-404.96426455059492,-398.52303575671516,-375.23205100639495,-287.02156462684025,-319.26251361715879,-318.08075423607283,-304.42348106763927
246.79400999999999,-9.1693604338630585,-16.294950556382307,-32.788600053028532,-34.235219117812662,-91.002839395804045,-108.95457393749913,-164.44967729385939,-205.62009289607437,-302.71715858388438,-322.93079381802505,-361.19512688240371,-379.88957480437409,-351.3309759602995,-377.33316445164246,-373.2955589926238,-360.88340671855531,-284.40322797434169,-330.98378837001133,-354.11235706248038,-360.18091939374216
246.84700000000001,-6.4015960831947387,-11.343979920025816,-23.148665339113386,-27.811507991674603,-74.07149018750458,-89.392233056243768,-132.96759239212957,-163.41647134040039,-236.99330903744425,-249.08910914945179,-272.2254291737014,-281.99741962351237,-249.27504213006887,-265.35045728184696,-258.75032688617671,-249.99891562650444,-189.8735071014232,-238.98139562028859,-272.42695820245319,-287.71408518243464
246.89999,-5.8967167690966766,-10.683452853017833,-21.998630215817336,-27.890519610541737,-75.10712442522113,-91.413834907362642,-137.03941253382575,-168.78334702418073,-246.74751425519011,-261.81586785107254,-288.41688076786579,-299.32559699366391,-267.0414883990901,-287.1651516720313,-281.82595029406531,-274.21634995992162,-214.47153437594321,-258.66466510986828,-282.1544847972134,-290.76928113706128
246.953,-6.095804847128254,-11.193203980171564,-23.16604321152867,-28.520348563274425,-77.093329359748168,-94.001161061861751,-143.14104317456423,-177.89312302903329,-263.13213842151617,-282.90860564911361,-318.11648745386719,-334.49304905886623,-312.25477638828539,-344.24763268934299,-346.57793053559192,-349.98197014900506,-302.89097443286846,-347.85311968168287,-371.82533941053566,-382.16746287911496
247.00700000000001,-7.5219872199710478,-13.734631895390809,-28.232901198485596,-31.912410272951366,-85.892668724341618,-104.08327541055368,-159.56739921160181,-199.19081029564433,-294.22232406143013,-315.29673130187382,-352.61689053305395,-370.01610528075707,-343.6738740709053,-374.86187922473925,-372.40353909779975,-365.02125857097667,-300.64751237208981,-336.46945643516426,-338.84300188413539,-328.20989464106185
247.06,-8.4151768730678498,-15.313770703072841,-31.300703960641862,-33.248533805813992,-89.597815752832531,-107.98884216768239,-165.8051679018069,-207.78492608650143,-306.46465210254507,-328.013695759943,-365.36550444898921,-381.81248361747009,-347.4673129672795,-361.94929122021546,-341.35684287223637,-302.82763045935951,-199.81567448294751,-207.70929832275863,-168.04642668951203,-120.78246347047056
247.11301,-8.4067870803945652,-15.144840570291446,-31.024093509768942,-32.663067823535428,-88.138747277456389,-105.85713777399098,-162.13026948846567,-202.40863774157441,-296.67084951645137,-314.91807591396292,-347.30611966314939,-360.91051910980184,-323.40000219565741,-337.00205455716605,-319.37944811958374,-289.44483785956101,-198.98652345418944,-226.07226133719632,-219.97940180504079,-201.55684095191634
247.166,-8.0210216117047466,-14.484110671890914,-29.77491161410541,-32.010293919096569,-87.330141055166351,-105.27995659422368,-161.74363416054467,-202.34454889217699,-298.41368317174306,-319.60059113857324,-359.0868134906184,-377.51092798849066,-350.81715943988513,-382.20479870676627,-382.55307735237392,-383.03046737317055,-325.70913315716348,-375.48724524884074,-403.50487158574384,-414.73237342802975
247.21898999999999,-7.4871826073021692,-13.573424187457102,-28.302045679706051,-32.676527854392347,-87.413229755265775,-105.28795762613004,-159.85072895338803,-197.75505356002395,-288.07084840614363,-307.80614349472148,-346.82073541580706,-365.90020074205961,-344.24095200011777,-393.63110970076474,-410.24077241505591,-443.30146521609623,-421.96158151037781,-499.47166972352989,-568.14810921786409,-612.89585933572903
247.27199999999999,-7.4089028050212189,-13.630792910192756,-28.630727141864231,-33.461628723487635,-87.899355622537229,-105.55409865889354,-159.78131869449436,-196.69564014597054,-283.57994919504017,-301.6666679938283,-335.84753817870921,-351.80171313091853,-322.97953139252849,-364.63117209709026,-372.20206230550696,-393.80164793754255,-359.88985548210235,-423.00008278388674,-465.78075504232612,-488.16645487729204
247.32499999999999,-6.9689210830594632,-12.924951115083706,-27.100118431996172,-30.094000805619558,-77.54500458954972,-92.434764874437221,-140.55873468351527,-173.37112103289317,-248.75012494846123,-265.64584432771039,-296.97041373396041,-311.91926457923688,-287.25143454830612,-324.90807782598466,-331.52576797855352,-351.69417193710569,-321.38733803382496,-367.2076709336115,-386.85743861259414,-391.34662986490201
