Sample,True_Comp,1,2,3,4,5
AGV2,59.3,52.284674022136755,62.1743512485479,59.977816130275883,60.63930925235951,61.104969185517341
AGV2,59.3,52.128149562863811,61.621103522397888,59.129237528395336,60.093455669782465,60.499886744279067
AGV2,59.3,51.890990260149948,61.715360734552299,59.96776849275345,60.675185416340945,61.267333297194163
AGV2,59.3,51.683499725605571,61.549548646163402,59.495546908951795,60.199813887031993,60.773416172394747
AGV2,59.3,52.103472248364739,61.705305467842194,58.802178299357323,59.507314283499603,60.255997394089476
BCR2,54.1,47.763091234674214,53.674222922487743,48.632996399717499,52.053083948812493,52.335818105941506
BCR2,54.1,49.225892408497501,55.911934161854177,52.947465376957325,57.289126756192971,57.618410864236083
BCR2,54.1,49.589453261802198,53.787105136081244,48.134255992403084,52.012406878063651,51.650790453104605
BCR2,54.1,51.539627451648428,58.100330614825232,53.441696225355983,56.505859632067363,56.154393403213348
BCR2,54.1,48.927106936694152,55.096553379727887,51.274172813996032,54.189122007304199,54.685194567669086
BEN,38.2,39.933533082985861,40.917507966854977,37.369331344641857,40.883670126124741,41.147933996094295
BEN,38.2,39.83651410980444,40.459116479576529,38.533348685049987,41.201588255499345,41.980310019989176
BEN,38.2,41.946274939822857,43.165011626164386,37.403458004726531,40.145298804005279,40.497699449785358
BEN,38.2,41.016556413030443,42.0218832912403,38.581803907176521,41.841406378675927,42.017176829707658
BEN,38.2,40.94625368074005,42.312183646957216,37.760393172155013,40.830533937326109,41.250236005538909
BHVO2,49.9,43.971020370201877,47.556742430983448,46.323767233112555,49.627199935076973,49.911096947225339
BHVO2,49.9,43.621536924803074,47.492848032676541,45.800637630762402,49.98803640300526,50.581895022267773
BHVO2,49.9,43.183467491127693,47.246751474808818,47.615238143181784,52.069533075824154,52.707824490263739
BHVO2,49.9,44.303893617137675,48.401228519947175,47.327478893770945,51.286607356156189,51.952954709283539
BHVO2,49.9,44.235046171456567,48.402946769205748,47.702421739042506,51.610551649920382,52.119981309286132
BIR1A,47.96,39.435843306561068,42.510975208473425,47.536550988363089,48.34463526119157,47.890482533752277
BIR1A,47.96,38.817057543558136,41.251745678521878,46.440854785159615,46.93150994035134,46.807221709028319
BIR1A,47.96,40.007478533312465,41.50706567344389,46.081843119413804,47.412988654943256,46.684831823427771
BIR1A,47.96,41.554194740227643,42.033631794920858,46.391548366395597,47.317331113754037,45.745241774363521
BIR1A,47.96,36.427237506128925,37.504527620320566,43.880063289791863,46.060577418859381,45.737255620280436
BK2,58.83,60.16181555168928,54.304826844413711,50.693734415310644,55.921476924247486,54.850983438157918
BK2,58.83,56.271854700785326,59.596347220414593,50.385835245284227,53.103510965316254,52.934424496590054
BK2,58.83,53.010723877705914,60.982991515748878,61.483175587954726,62.298305582496283,63.187236241895583
BK2,58.83,61.034337534151305,54.504059228863625,49.249483641937374,54.354588301776481,54.440824293299556
BK2,58.83,58.463483668109923,54.489762087032609,48.817127211734302,53.332135718641908,53.505014199479717
BT2,48.57,45.769562466839808,49.435341241576907,50.280733580171891,50.072452545900028,49.696208216034549
BT2,48.57,43.559381304286312,49.073456580916627,49.867803462908789,50.736391057216622,51.39589429617903
BT2,48.57,44.164054061119842,49.345645934810911,50.724102531149228,51.695154884894642,52.987420045506354
BT2,48.57,45.191362375613849,48.281633874966516,49.615910878768553,49.920308126631717,49.49161425026648
BT2,48.57,42.800906140903791,48.48093417337973,49.820764019681548,51.150453440777994,52.193985238512411
CADILLAC,72.2,68.705960963329616,83.88332711081955,82.425184218159103,75.922651943834992,75.483169537109603
CADILLAC,72.2,62.218571975483378,75.543556578356998,73.895750461796169,71.638215370485113,71.506943316734976
CADILLAC,72.2,65.230089289820739,78.831568669650864,78.198344211915384,74.266400457093454,73.768241310164598
CADILLAC,72.2,67.920512561472606,82.591144014910398,84.150720720967044,79.300160208592004,78.608892271858267
CADILLAC,72.2,62.973486346403739,75.917813429831398,74.228462249799492,70.632230621459229,70.446299908138428
GBW07103,72.83,61.639463017939264,71.881582341132827,72.506157746296935,71.297413819937802,71.672092049486736
GBW07103,72.83,61.899456704210309,73.242395448722476,75.51005710570945,73.704653839559214,74.085242401427649
GBW07103,72.83,61.818311392146597,73.466772555639224,75.845516389647045,74.233005768401384,74.652065394886819
GBW07103,72.83,63.141269640483884,74.156096169434079,75.085554494313484,73.649137192760847,74.213977194072882
GBW07103,72.83,63.568277812533083,73.360125903108838,74.735387225370431,74.321811992723255,73.968888481682228
GBW07104,60.62,50.518049241474941,59.166961643706472,57.721874363066611,55.629276405339745,56.384840485935861
GBW07104,60.62,51.979257949976834,60.896864781984299,60.245676724246692,56.403889712235284,56.404747378592788
