Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AGV2,1,4,59.3,49.328671640798774,57.325811380288997,56.773494111633731,61.61719849672513,61.412159657721467,59.610942759817299,58.193439762628707,59.415335744900311,59.446188271030287,61.03824418875957,60.958755480039422,60.880437681580901,61.291791276769331,62.265273782708149,61.737865858470606,61.569858049272362,62.403099048722446,62.96335040131261,62.298203180711795,62.312414411954315
AGV2,2,4,59.3,48.983371208280737,56.375370686353605,55.152406706096798,59.351141609478006,59.24136177051534,57.862629648641068,56.349118609131516,57.492358135150084,57.415313285126068,58.992706756449209,58.568756641149086,57.337279154750306,57.006880383058146,59.299526910184063,60.809142921936733,61.204496707125806,62.180997779834648,62.620903772454341,62.173038108908017,62.12155397035788
AGV2,3,4,59.3,48.259884326776806,57.117151140368215,56.45415883685471,60.820753629032943,61.050248801459887,59.690357117123554,58.405156116203798,60.078255500212727,60.414334492081601,62.800139666944744,62.863411171281022,62.533424843029586,62.590280641912777,63.403141484037803,63.980733405535069,64.553146740408891,65.207379033777414,65.509289062906475,64.798340666556342,64.664110816213238
AGV2,4,4,59.3,47.946801467590518,56.712382994695766,55.945927170269371,60.202804694664295,60.434737908790225,59.084687121680588,57.727991074384782,59.30422123829802,59.47142814940149,61.679111816450117,61.602474503976801,61.258618308224179,61.351625944617474,62.26405145483514,63.01612711203753,63.492468840485195,64.042889317946617,64.483650591321847,63.760031470868945,63.745689386460917
AGV2,5,4,59.3,48.846301866863271,57.206307899483306,56.486237184457565,60.820295712928768,60.875161941373129,59.659912446554898,58.139069946241158,59.757542974867512,60.01307780823111,62.25019499029294,62.247934187039192,62.376724382922369,62.781060777726502,62.942013135210814,63.079442130551314,63.416943164285399,63.798550172861788,64.283880475640728,63.369966205687419,63.539310006350618
BCR2,1,4,54.1,49.012166700618991,50.813702798019278,49.302598184793204,54.727770916340702,53.500140629215977,54.476545639324328,52.815879875516707,53.322401259415244,53.334817623852842,54.770967514299755,56.049660591131222,56.934513257974224,57.7591088616768,57.161786961010144,56.614206425630663,56.876445272715621,58.016752061400609,58.510491972653021,58.27289739556555,59.641180582634334
BCR2,2,4,54.1,49.381021145506111,52.283262156802017,50.583452587526828,55.964938237648312,55.09573540952988,56.032942615141579,54.460863223326101,55.050997195822148,55.102897646775268,56.822673512667016,57.354267433314767,56.213236946604546,55.92407581882636,56.990108619602225,57.624310221281391,58.360016617638792,60.094769760150506,60.454619957560581,60.25840839103784,60.59536905897145
BCR2,3,4,54.1,52.353401442574899,51.117345393602712,48.809045196593836,54.104282198376495,52.373256128355521,53.681481784169733,51.441093684510612,51.315184452267523,51.425540119517045,53.219993504585936,54.24712531968882,54.127284992961165,54.41240404281583,55.634135153072428,54.957648436815667,55.425884693101544,56.568260974886662,56.347895825972017,56.197289833952944,57.040063453447978
BCR2,4,4,54.1,51.844292154681796,53.087179045277672,50.457089101643383,55.181802641788387,54.044357228141671,55.404312594969348,53.366932561956268,53.745020319051946,53.9101170675522,55.981733113941857,55.773166431882103,54.407674850296047,54.106420201442617,56.080793565797613,56.759246021083065,57.667382334450522,58.588018910043225,59.242334468262705,58.820711821238419,59.400973500380076
BCR2,5,4,54.1,49.029935540805582,51.386821401124912,49.967699945370946,54.771958176725661,54.268181256011502,54.384277732906575,53.009633380650406,53.566280583305826,53.452366306395987,55.184039333956704,54.895195825733346,53.701843530486052,53.394424383958707,55.229374943921158,55.746566774326567,56.086544213223817,57.299858779298233,58.297347243029655,57.401280817597495,58.59061758805116
BEN,1,4,38.2,43.579954615833067,38.006615138415825,37.887392712699437,41.299324744584681,40.159908571486554,41.182908805130978,39.487055128479298,39.703591511648305,40.255041428286411,42.363766136651122,42.391211713807778,41.171081522493111,39.787054676678999,39.383035827112039,40.221504854929677,41.22621411963533,41.384017304831971,39.348515850036293,38.749448705628453,38.891853126233713
BEN,2,4,38.2,42.344759074501447,37.076599678836736,38.617577816315233,41.96398096889979,41.016835563959482,41.482316498137756,39.947935265048784,40.281979136536563,41.190886205195604,43.376583767605965,44.034551530828963,43.795230490922556,43.054083410906401,41.343229765440945,40.74864485376736,41.034295464653468,41.510353624991424,39.287463003910155,38.502044904809992,38.489513231481773
BEN,3,4,38.2,45.59491115206184,40.352058470486256,39.521789301686908,42.005921482307762,40.404879688823797,41.596009449130214,39.548654703277009,39.828991355490032,40.460328332784954,41.859450529104912,41.160123276338801,40.740813253964916,40.135751894178767,39.912305723581035,39.914782698795115,40.513677198220279,40.473595136332364,39.193315034819022,38.532389960731507,39.198011428970005
BEN,4,4,38.2,44.719230362401923,38.103282903348074,38.011633845207584,41.197226695250372,40.041716030010846,40.893757370668823,39.019709575468809,39.004303498146761,39.684226088950837,41.354143043053242,40.925524112057317,39.409287958811973,37.81385202961782,37.527686680398745,38.912907595187221,39.854541257785598,40.080208518087609,37.714193903978668,36.874760694746193,36.483297355620195
BEN,5,4,38.2,44.344216930561913,38.943785868059024,38.720722226765801,41.942803206396256,40.729789006727763,41.722188622585819,39.821524592656999,40.087783262662285,40.504124855842974,41.902947099700725,41.309866002962863,40.309226472915668,38.95910491316895,38.097290667262229,38.718756137997559,39.443423554174927,39.524238862090883,37.937310565337519,37.093717989029926,37.469069519024785
BHVO2,1,4,49.9,46.048854910913938,45.475726215243945,45.096501589521395,49.300015063240139,48.38348479279842,49.722509285749688,47.9625639561608,48.045910957238888,47.470882838742867,48.231445467865541,48.207345214281546,45.947940445969593,44.611255227510924,45.635950065946837,46.162774511007612,46.388416304133031,47.50595476297817,47.231526683315309,47.395071759369721,48.320184550220205
BHVO2,2,4,49.9,45.896313106660443,44.759269937741237,44.327247127209183,49.323603222067554,48.50839537776568,50.023445957525468,48.64336643276215,49.052364277606173,48.782547100743763,50.400670827822971,50.704469988841446,49.037087847968763,48.031043039948351,48.295697912969196,48.562736683682274,48.704909336036209,49.948810605200649,49.817796372587033,49.556729146617407,50.592949467876174
BHVO2,3,4,49.9,45.645044708321279,44.383560760675429,44.598215563603787,49.835642674007509,49.207699019373386,50.695898772818332,49.368659526207061,49.501308717479198,48.998571464814162,49.693465298028229,49.388505829790518,46.460387264505755,44.915753028384657,45.699828649563869,46.61601861978324,46.761798706657714,48.510532437038819,48.037003733685026,47.954295744711466,48.779178034225225
BHVO2,4,4,49.9,46.128889738763476,45.42054042527139,45.069572836308453,49.776119034741356,49.116054121061801,50.633537327319743,49.060917148427656,49.263261639084575,48.799606715242518,49.941438823855478,49.651894328549069,47.64352937454079,46.542771352693642,47.204540860603174,47.65042986382511,47.801954345963814,49.543955372969307,49.967687376222734,49.641961339206759,50.701989998338362
