NC,RMSEP (wt.%)
1,4.019682466341318
2,2.9687941537287839
3,2.3451136017954615
4,1.8981386410946079
5,1.5117023695830685
6,1.3125259330628187
7,1.2423883443218118
8,1.2447465120624779
9,1.3107402413576041
10,1.2744654509513007
11,1.2402612856297304
12,1.2060716590791496
13,1.197964584545127
14,1.221120086970146
15,1.1883609533823312
16,1.1329820481400565
17,1.1455765981696626
18,1.1625340443782783
19,1.1732241108377977
20,1.1401194732681872
