Sample,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AGV2,59.3,60.490037549320498,63.746665455297524,61.198876565490863,61.928773760787834,62.344159072162263,62.129424824002882,62.95538025581039,61.865795504823204,61.719411295047969,61.576458753626348,61.877281938062637,62.481896157875774,62.75896485182745,62.638852782007532,62.564561038027271,62.530309666353439,61.823205999257894,61.875706588162124,62.308814618088718,61.656516458057354
AGV2,59.3,61.163656507235729,64.337074896341349,61.312540928157311,62.208629220431824,62.539236454605323,62.219396142874842,62.698065961571295,60.605493225064116,60.052551824128535,59.452579370420565,59.847950742816913,60.92038624763746,61.245025956781859,61.223467744144294,61.224851473695125,61.362514439725594,60.495655470001886,60.553609640201202,61.069855982373788,60.564396682482553
AGV2,59.3,60.704279985939792,63.998266816483699,61.326135500963694,62.17042880647243,62.092087942229327,61.645954511315942,62.29805596078296,61.2681525914914,60.983220594591167,60.689386376176152,61.216002540062902,62.266892172364656,62.640177248065235,62.554918220813079,62.345898250307762,62.185491859505412,61.461978750930264,61.491953539350618,62.033994552633153,61.716464841459754
AGV2,59.3,60.483185124340906,63.810963638903161,61.127827161427732,62.089471571216173,62.038556599539675,61.560137361490611,62.25532103130957,61.290944508655983,61.120211306741155,60.829508761449731,61.407678215111744,62.303472819447187,62.638219955678863,62.620832790367999,62.467670561769715,62.494517709926001,61.87245168476786,61.898700700340946,62.470743999839073,61.970561185255157
AGV2,59.3,60.25765286079239,63.440819505524971,60.493899845307816,61.229500594428274,61.673744683394162,61.400808239778485,62.342954888036758,61.78294884796157,61.522577871903614,61.382708833334881,61.920988978667623,62.569318330790765,62.639376233251667,62.493527707836698,62.377015887417109,62.35348252494736,61.812582319111023,61.776784233425687,62.282851566020732,61.817812807758393
BK2,58.83,59.614670337055941,58.203729025380333,55.937110314987123,59.944371522395826,60.808059045937476,61.174750973998933,61.160465310353281,57.164899191071754,55.197141758185751,55.614009617948554,55.245865688892515,56.030522730509169,56.200362918139156,56.684866758573925,56.769584111309356,57.718771596912696,57.999893822164545,57.537322369481458,59.132369840839331,59.331096206528443
BK2,58.83,63.240041742689229,64.157254577256509,57.697940041435338,58.233456540673252,60.859515214492575,61.991357915747599,63.524456637605546,59.744750158014504,58.336123627339219,58.038145585444461,60.285085612425362,58.960710236751027,58.05441497651708,59.174558154545309,59.820809781419726,61.306646569337978,61.793650021362645,62.023690354384215,63.843536535100519,63.784014960755009
BK2,58.83,60.600761443365997,63.562171214169162,62.562264381584789,64.364905333956784,63.896773849736583,63.234819834899099,63.709185663514191,63.589503569284197,62.517180018233013,62.298896190049589,62.34252343144184,63.562959164847172,63.611577834931438,63.45747182548201,63.76847642542176,64.155342225158705,64.497109996248923,64.289759452212238,64.749073095282341,64.173739333089529
BK2,58.83,58.287961336793316,56.607870350538157,54.440356786979926,58.387353234368334,59.99415779814862,60.365815650172387,60.966323116583823,58.586915693218828,56.230811373719831,57.079059828052358,56.957441225570918,57.585757221425112,57.127388560624269,57.444523434390653,57.869815655596817,58.697055582960886,59.049915438234223,58.218042612033386,59.12908026504244,58.666108837572054
BK2,58.83,57.550655720928653,56.707505958089904,53.95212776781851,57.313621159149463,58.700686178027119,59.016930610317132,59.744410435941582,57.811001081645792,55.772414033494883,56.514642967646125,56.503583386914876,55.836092538879043,55.079054896834037,55.283887988960259,55.560785860606003,56.339758785508636,56.839222599465614,56.011532026228863,56.467289186439054,55.698614413891789
